ID;Inserted At
84646;2020-05-17 00:00:00
129349;2020-05-17 00:00:00
19567;2011-05-17 00:00:00
65964;2017-05-17 00:00:00
68738;2017-05-17 00:00:00
58437;2017-05-17 00:00:00
19575;2011-05-17 00:00:00
34327;2017-05-17 00:00:00
83706;2020-05-17 00:00:00
77818;2020-05-17 00:00:00
77838;2020-05-17 00:00:00
77840;2020-05-17 00:00:00
77842;2020-05-17 00:00:00
34385;2017-05-17 00:00:00
77844;2020-05-17 00:00:00
82581;2020-05-17 00:00:00
82580;2020-05-17 00:00:00
20070;2014-05-17 00:00:00
57737;2017-05-17 00:00:00
65994;2018-09-01 00:00:00
61538;2018-09-01 00:00:00
267103;2023-10-20 00:00:00
83442;2022-04-01 00:00:00
86741;2020-05-17 00:00:00
86763;2020-05-17 00:00:00
83709;2020-05-17 00:00:00
83695;2020-05-17 00:00:00
83689;2020-05-17 00:00:00
210360;2023-08-28 00:00:00
83459;2022-04-01 00:00:00
65972;2017-05-17 00:00:00
86746;2020-05-17 00:00:00
66028;2017-05-17 00:00:00
72372;2017-05-17 00:00:00
19501;2011-05-17 00:00:00
77986;2020-05-17 00:00:00
57244;2017-05-17 00:00:00
79535;2020-05-17 00:00:00
83567;2022-04-01 00:00:00
67484;2017-05-17 00:00:00
209547;2023-07-10 00:00:00
57897;2017-05-17 00:00:00
20076;2014-05-17 00:00:00
78197;2022-04-01 00:00:00
289201;2023-12-06 00:00:00
59489;2017-05-17 00:00:00
83745;2020-05-17 00:00:00
23126;2014-05-17 00:00:00
84636;2022-04-01 00:00:00
332455;2024-02-21 00:00:00
27353;2011-05-17 00:00:00
66311;2017-05-17 00:00:00
82765;2020-05-17 00:00:00
19544;2011-05-17 00:00:00
86738;2020-05-17 00:00:00
23117;2014-05-17 00:00:00
57735;2017-05-17 00:00:00
82596;2020-05-17 00:00:00
209831;2023-07-12 00:00:00
86385;2022-04-01 00:00:00
84411;2022-04-01 00:00:00
19531;2011-05-17 00:00:00
78406;2020-05-17 00:00:00
142147;2020-05-17 00:00:00
84418;2022-04-01 00:00:00
58029;2017-05-17 00:00:00
77301;2020-05-17 00:00:00
85147;2022-04-01 00:00:00
212156;2023-09-11 00:00:00
209841;2023-07-12 00:00:00
57698;2017-05-17 00:00:00
19988;2014-05-17 00:00:00
61564;2018-09-01 00:00:00
38729;2017-05-17 00:00:00
57297;2017-05-17 00:00:00
210375;2023-08-31 00:00:00
57789;2017-05-17 00:00:00
26045;2014-05-17 00:00:00
77304;2020-05-17 00:00:00
20023;2014-05-17 00:00:00
58290;2017-05-17 00:00:00
332456;2024-02-21 00:00:00
321356;2024-02-06 00:00:00
321348;2024-02-05 00:00:00
59361;2017-05-17 00:00:00
61549;2018-09-01 00:00:00
77648;2020-05-17 00:00:00
